Collection #,RMS (pix),X err (pix),Y err (pix),Trans (mm),Rot (deg)
000,1.1221,0.9581,0.3348,7.2234,0.0725
001,0.8897,0.5831,0.3883,7.3082,0.0973
002,1.1022,0.6752,0.6236,7.2838,0.0987
003,1.7631,0.9267,1.1780,6.8427,0.0820
005,1.6771,0.9616,1.0726,6.7956,0.0967
006,1.0392,0.6431,0.6069,6.7781,0.1079
007,0.7618,0.4884,0.4145,6.6431,0.1155
008,0.7682,0.5069,0.4073,6.7464,0.1268
009,0.5198,0.3567,0.2630,6.5356,0.1060
010,0.4492,0.2685,0.2564,6.8709,0.1384
011,0.5713,0.3688,0.2966,6.8991,0.1186
012,0.9156,0.6222,0.4087,7.0009,0.1060
013,1.6231,0.8655,1.0720,7.0416,0.0868
014,1.3161,0.9072,0.6574,7.1991,0.0817
015,1.0696,0.7768,0.4071,7.1441,0.1160
016,0.7550,0.5188,0.3270,7.0181,0.1034
017,0.5799,0.3524,0.3042,7.0976,0.0964
018,0.9295,0.7543,0.3652,7.0058,0.1394
019,0.7175,0.5010,0.3221,6.9977,0.0925
020,1.7504,1.5086,0.6703,7.2573,0.0929
021,0.8894,0.5798,0.4574,6.6217,0.0848
022,1.8139,1.2610,1.0090,6.8442,0.0871
023,1.7825,1.1926,1.0456,6.8857,0.0778
024,1.6675,1.5056,0.5384,6.5909,0.1120
025,0.6312,0.3088,0.3170,6.3406,0.1225
026,0.3978,0.2777,0.1951,6.2323,0.0778
028,0.6018,0.4230,0.3058,7.0676,0.0971
029,0.3161,0.1827,0.1855,6.1836,0.1422
030,0.3314,0.1596,0.2188,6.6076,0.1418
031,1.6269,1.5433,0.4260,8.2079,0.1314
032,0.6477,0.4689,0.3375,6.3729,0.0968
033,0.3787,0.1927,0.2421,6.3627,0.0591
034,0.6131,0.5281,0.2124,5.9469,0.0658
035,1.3310,1.1502,0.4361,7.2451,0.0763
037,1.8714,1.0605,1.1962,6.6991,0.0865
038,0.9969,0.6264,0.5595,6.7328,0.0989
039,0.6064,0.4017,0.3098,6.7584,0.0920
040,0.7599,0.5135,0.3169,7.4914,0.1056
041,0.8031,0.6373,0.3618,8.9992,0.2671
042,1.0527,0.7539,0.5753,25.7191,0.9767
043,0.7620,0.5147,0.3796,6.7413,0.0719
Averages,0.9805,0.6787,0.4878,7.3741,0.1255
