Collection,front_left_camera [px],front_right_camera [px],lidar3d [m]
000,2.0800,0.8960,0.0064
001,2.0491,1.4107,0.0062
002,6.4589,6.6129,0.0062
005,5.1911,3.2227,0.0058
006,7.1057,5.3656,0.0060
007,3.1107,2.5358,0.0063
008,3.1328,2.4599,0.0063
010,7.8759,7.4431,0.0061
011,2.4415,2.1939,0.0058
012,3.1104,2.1834,0.0058
013,4.8420,2.6764,0.0056
014,3.8760,1.9799,0.0055
015,2.9251,1.9783,0.0056
017,3.3151,3.1088,0.0060
018,3.9967,2.9913,0.0058
019,5.9695,5.2389,0.0055
020,4.8325,3.0648,0.0046
021,3.0677,2.1568,0.0046
022,4.0671,2.6109,0.0037
023,4.2356,2.6591,0.0036
024,4.3640,2.6057,0.0035
026,5.1664,3.6289,0.0055
029,2.7172,1.6016,0.0063
030,3.4888,2.5527,0.0061
031,43.0220,56.9042,0.0068
033,5.6654,4.7068,0.0058
034,2.7005,1.2372,0.0053
035,3.0080,2.1768,0.0046
039,5.7095,5.9417,0.0060
040,8.9718,9.2075,0.0062
041,3.5187,2.0304,0.0066
042,7.0794,4.8702,0.0065
043,10.6628,10.3365,0.0063
Averages,5.7502,5.1694,0.0057
