Collection,front_left_camera [px],front_right_camera [px],lidar3d [m]
001,1.3796,1.7529,0.0065
002,1.5192,2.1056,0.0064
003,1.7693,3.0421,0.0063
005,3.4413,1.7150,0.0059
008,1.3061,0.9489,0.0065
011,0.7864,0.8402,0.0061
012,1.5060,0.8884,0.0063
013,4.0013,2.0502,0.0058
015,1.7568,0.9297,0.0061
016,0.9878,0.7488,0.0061
019,1.4753,0.8441,0.0059
025,2.6638,2.2877,0.0053
026,1.2564,0.9476,0.0060
028,0.6159,0.6168,0.0063
029,0.9227,1.0929,0.0066
034,2.6331,2.2866,0.0063
035,7.3698,5.4835,0.0056
038,2.1497,1.2788,0.0063
039,1.1730,0.7491,0.0060
040,1.1821,1.4227,0.0066
Averages,1.9948,1.6016,0.0061
