Collection #,RMS (pix),X err (pix),Y err (pix)
000,8.3707,6.3168,3.9482
006,13.8027,10.9322,7.7840
007,13.8528,10.0778,7.7662
009,9.4533,8.0476,4.4401
010,4.9379,2.7189,2.7711
014,11.9871,9.0029,6.2132
017,6.5461,5.6562,1.8801
018,6.7625,5.7185,2.8613
020,11.3819,10.1081,4.2939
021,14.9024,11.2415,7.9804
022,20.5837,15.2448,8.4559
023,19.3019,14.3973,8.8309
024,11.6978,9.7954,5.1032
030,6.6808,4.6442,4.2359
031,54.0584,45.1870,21.8259
032,4.9025,3.4383,2.6807
033,11.8678,9.2536,5.9432
037,21.3928,19.2301,8.8684
041,6.6260,4.2215,3.1210
042,4.3024,2.8380,1.5652
043,11.6823,8.8523,6.8858
Averages,13.0997,10.3297,6.0693
