Collection #,RMS (pix),X err (pix),Y err (pix)
000,8.9659,6.8450,3.8686
006,14.5348,12.8603,4.3229
007,10.4667,7.2567,5.4935
009,5.9684,4.6456,3.0106
010,5.0533,2.8490,3.8319
014,13.2051,8.8725,6.5082
017,5.9988,5.2136,2.0105
018,4.8191,3.7043,2.2311
020,17.6983,11.9781,10.7198
021,14.6223,9.6872,7.7551
022,24.3885,15.9263,13.2243
023,26.1879,18.4775,15.8802
024,17.5908,13.9021,8.9284
030,4.0700,3.4358,1.5464
031,61.9090,37.1766,37.3475
032,2.9639,1.9025,0.9812
033,8.6458,7.6399,2.9224
041,5.2177,3.5232,2.6521
042,3.2650,2.2234,1.3114
043,12.3031,10.3150,5.9435
Averages,13.3937,9.4217,7.0245
